"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3359","DJCSS-T149: Verify the form successfully accepts exactly 3 uploaded files - TRS","Regression Test Suite","2026-09-23","passed","2026-09-23","MCT Form Submission > TRS","mct-form\mct-form-submission.spec.ts","",""
"","13895","DJCSS-T96: Verify updated Footer Logo on DJCSS","Regression Test Suite","2026-09-23","passed","2026-09-23","Logo Updates","logo-updates\logo-updates.spec.ts","",""
"","22930","Verify search results pagination navigates to the next page of articles","Regression Test Suite","2026-09-23","passed","2026-09-23","FAQ Forms","faq\faq-forms.spec.ts","",""
"","4074","DJCSS-T119: Verify submission with only the mandatory fields filled, leaving all optional fields blank - Prosegur","Regression Test Suite","2026-09-23","passed","2026-09-23","MCT Form Submission > Prosegur","mct-form\mct-form-submission.spec.ts","",""
"","7794","DJCSS-T136: Verify that the form submits successfully when all fields (Mandatory + Optional) are populated correctly - Arconic","Regression Test Suite","2026-09-23","passed","2026-09-23","MCT Form Submission > Arconic","mct-form\mct-form-submission.spec.ts","",""
"","6465","DJCSS-T132: Verify that the form prevents submission if mandatory fields are empty - Otsuka","Regression Test Suite","2026-09-23","passed","2026-09-23","MCT Form Submission > Otsuka","mct-form\mct-form-submission.spec.ts","",""
"","17210","DJCSS-T165: Dragonfly Intelligence product name is updated in Live Chat form","Regression Test Suite","2026-09-23","passed","2026-09-23","Live Chat","live-chat\live-chat.spec.ts","",""
"","3391","DJCSS-T135: Verify Unrestricted Upload of File for MyCompanyTodayForm - Otsuka","Regression Test Suite","2026-09-23","passed","2026-09-23","MCT Form Submission > Otsuka","mct-form\mct-form-submission.spec.ts","",""
"","24726","DJCSS-T157: Verify the updated Product container for Product Alert","Regression Test Suite","2026-09-23","passed","2026-09-23","Product Alerts","product-alerts\product-alerts.spec.ts","",""
"","17136","DJCSS-T61: Verify Product filter Checkbox Menu items are present in the table","Smoke Test Suite","2026-09-23","passed","2026-09-23","Product Alerts","product-alerts\product-alerts.spec.ts","",""
"","7034","DJCSS-T128: Verify Unrestricted Upload of File for MyCompanyTodayForm - Analog","Regression Test Suite","2026-09-23","passed","2026-09-23","MCT Form Submission > Analog","mct-form\mct-form-submission.spec.ts","",""
