"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16954","DJCSS-T166: Verify Product Area dropdown reflects updated product names for Global Risk Insights","Smoke Test Suite","2026-09-16","passed","2026-09-16","Help Request Form","help-request-form\help-request-form.spec.ts","",""
"","4694","DJCSS-T128: Verify Unrestricted Upload of File for MyCompanyTodayForm - Analog","Regression Test Suite","2026-09-16","passed","2026-09-16","MCT Form Submission > Analog","mct-form\mct-form-submission.spec.ts","",""
"","21344","DJCSS-T55: Live Chat - Preferred Language selection is required","Smoke Test Suite","2026-09-16","passed","2026-09-16","Live Chat","live-chat\live-chat.spec.ts","",""
"","17897","DJCSS-T157: Verify the updated Product container for Product Alert","Regression Test Suite","2026-09-16","passed","2026-09-16","Product Alerts","product-alerts\product-alerts.spec.ts","",""
"","3722","DJCSS-T130: Verify New MCT Article Submission Form - Otsuka","Regression Test Suite","2026-09-16","passed","2026-09-16","MCT Form Submission > Otsuka","mct-form\mct-form-submission.spec.ts","",""
"","29046","DJCSS-T92: Verify Newswire Product Update article publishes successfully in Alfresco","Regression Test Suite","2026-09-16","passed","2026-09-16","Recycle","recycle\recycle.spec.ts","",""
"","13538","DJCSS-T86: Verify updated Footer Logo on DJCSS","Regression Test Suite","2026-09-16","passed","2026-09-16","Recycle","recycle\recycle.spec.ts","",""
"","4007","DJCSS-T142: Verify that the form prevents submission if mandatory fields are empty - Constellium","Regression Test Suite","2026-09-16","passed","2026-09-16","MCT Form Submission > Constellium","mct-form\mct-form-submission.spec.ts","",""
"","5877","DJCSS-T132: Verify that the form prevents submission if mandatory fields are empty - Otsuka","Regression Test Suite","2026-09-16","passed","2026-09-16","MCT Form Submission > Otsuka","mct-form\mct-form-submission.spec.ts","",""
"","20793","DJCSS-T178: Verify form submission for RC DJCSS RCFC (Financial Crimes)","Regression Test Suite","2026-09-16","passed","2026-09-16","RC Feedback Forms","rc-feedback-forms\rc-feedback-forms.spec.ts","",""
"","5294","DJCSS-T153: Verify addition of new products to the Product Alert list","Regression Test Suite","2026-09-16","passed","2026-09-16","Product Alerts","product-alerts\product-alerts.spec.ts","",""
"","53616","DJCSS-T94: Verify updated logo on Factiva Content Update email template","Regression Test Suite","2026-09-16","passed","2026-09-16","Recycle","recycle\recycle.spec.ts","",""
"","4551","DJCSS-T137: Verify that the form prevents submission if mandatory fields are empty - Arconic","Regression Test Suite","2026-09-16","passed","2026-09-16","MCT Form Submission > Arconic","mct-form\mct-form-submission.spec.ts","",""
"","23483","DJCSS-T106: Verify FAQ URL after submitting Help Request Form","Regression Test Suite","2026-09-16","passed","2026-09-16","FAQ Forms","faq\faq-forms.spec.ts","",""
"","5550","DJCSS-T145: Verify Unrestricted Upload of File for MyCompanyTodayForm - Constellium","Regression Test Suite","2026-09-16","passed","2026-09-16","MCT Form Submission > Constellium","mct-form\mct-form-submission.spec.ts","",""
"","20131","Verify search results pagination navigates to the next page of articles","Regression Test Suite","2026-09-16","passed","2026-09-16","FAQ Forms","faq\faq-forms.spec.ts","",""
"","7530","DJCSS-T136: Verify that the form submits successfully when all fields (Mandatory + Optional) are populated correctly - Arconic","Regression Test Suite","2026-09-16","passed","2026-09-16","MCT Form Submission > Arconic","mct-form\mct-form-submission.spec.ts","",""
"","5818","DJCSS-T148: Verify submission with only the mandatory fields filled, leaving all optional fields blank - TRS","Regression Test Suite","2026-09-16","passed","2026-09-16","MCT Form Submission > TRS","mct-form\mct-form-submission.spec.ts","",""
"","27523","DJCSS-T151: Verify DJ Yomiuri logo is displayed correctly across viewport sizes","Smoke Test Suite","2026-09-16","passed","2026-09-16","DJ Yomiuri Standalone","dj-yomiuri-standalone\dj-yomiuri-standalone.spec.ts","",""
"","19107","DJCSS-T165: Dragonfly Intelligence product name is updated in Live Chat form","Regression Test Suite","2026-09-16","passed","2026-09-16","Live Chat","live-chat\live-chat.spec.ts","",""
"","20755","DJCSS-T174: Verify form submission for RC DJCSS Oxford Analytica","Regression Test Suite","2026-09-16","passed","2026-09-16","RC Feedback Forms","rc-feedback-forms\rc-feedback-forms.spec.ts","",""
"","24168","Verify a ""0 Results Found"" message is shown for a search term with no matching articles","Regression Test Suite","2026-09-16","passed","2026-09-16","FAQ Forms","faq\faq-forms.spec.ts","",""
"","5480","DJCSS-T113: Verify that the form prevents submission if mandatory fields are empty - Analog","Regression Test Suite","2026-09-16","passed","2026-09-16","MCT Form Submission > Analog","mct-form\mct-form-submission.spec.ts","",""
"","19274","DJCSS-T61: Verify Product filter Checkbox Menu items are present in the table","Smoke Test Suite","2026-09-16","passed","2026-09-16","Product Alerts","product-alerts\product-alerts.spec.ts","",""
"","17858","DJCSS-T129: Verify unrestricted file upload is rejected on the Help Request tab","Regression Test Suite","2026-09-16","passed","2026-09-16","Help Request Form","help-request-form\help-request-form.spec.ts","",""
