"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21348","DJCSS-T167: Verify Advanced Search product filter navigates to filtered results","Smoke Test Suite","2026-09-24","passed","2026-09-24","Home","home\home.spec.ts","",""
"","30309","DJCSS-T105: Verify the FAQ URL redirection on FAQ Menu on the Navigation bar","Smoke Test Suite","2026-09-24","broken","2026-09-24","FAQ Navigation","faq\faq-navigation.spec.ts","",""
"","30799","Verify the Administration page is up","Smoke Test Suite","2026-09-24","broken","2026-09-24","Administration Page - availability","djcss-admin-page\djcss-admin-page.spec.ts","",""
"","28770","DJCSS-T56: Verify Source Name field enforces a 160 character limit","Smoke Test Suite","2026-09-24","passed","2026-09-24","Factiva Source Request Form","factiva-source-request-form\factiva-source-request-form.spec.ts","",""
"","20008","DJCSS-T55: Live Chat - Preferred Language selection is required","Smoke Test Suite","2026-09-24","passed","2026-09-24","Live Chat","live-chat\live-chat.spec.ts","",""
"","30420","DJCSS-T151: Verify DJ Yomiuri logo is displayed correctly across viewport sizes","Smoke Test Suite","2026-09-24","broken","2026-09-24","DJ Yomiuri Standalone","dj-yomiuri-standalone\dj-yomiuri-standalone.spec.ts","",""
"","22692","DJCSS-T112: Verify that the form submits successfully when all fields (Mandatory + Optional) are populated correctly - Analog","Smoke Test Suite","2026-09-24","failed","2026-09-24","MCT Form Submission > Analog","mct-form\mct-form-submission.spec.ts","",""
"","18519","DJCSS-T166: Verify Product Area dropdown reflects updated product names for Global Risk Insights","Smoke Test Suite","2026-09-24","passed","2026-09-24","Help Request Form","help-request-form\help-request-form.spec.ts","",""
"","12258","DJCSS-T95: Verify updated Top Left Site Logo on DJCSS","Smoke Test Suite","2026-09-24","passed","2026-09-24","Logo Updates","logo-updates\logo-updates.spec.ts","",""
"","16591","DJCSS-T170: Verify form submission for RC DJCSS API Documentation - R&C Due Diligence Reports API","Smoke Test Suite","2026-09-24","passed","2026-09-24","RC Feedback Forms","rc-feedback-forms\rc-feedback-forms.spec.ts","",""
"","15394","DJCSS-T61: Verify Product filter Checkbox Menu items are present in the table","Smoke Test Suite","2026-09-24","passed","2026-09-24","Product Alerts","product-alerts\product-alerts.spec.ts","",""
"","18049","DJCSS-T57: Verify Dow Jones Risk Journal is listed under the Product section","Smoke Test Suite","2026-09-24","passed","2026-09-24","Risk & Compliance Product Update","risk-compliance-product-update\risk-compliance-product-update.spec.ts","",""
