"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10887","DJCSS-T170: Verify form submission for RC DJCSS API Documentation - R&C Due Diligence Reports API","Smoke Test Suite","2026-09-22","passed","2026-09-22","RC Feedback Forms","rc-feedback-forms\rc-feedback-forms.spec.ts","",""
"","6265","DJCSS-T112: Verify that the form submits successfully when all fields (Mandatory + Optional) are populated correctly - Analog","Smoke Test Suite","2026-09-22","passed","2026-09-22","MCT Form Submission > Analog","mct-form\mct-form-submission.spec.ts","",""
"","23754","Verify the Administration page is up","Smoke Test Suite","2026-09-22","passed","2026-09-22","Administration Page - availability","djcss-admin-page\djcss-admin-page.spec.ts","",""
"","17309","DJCSS-T57: Verify Dow Jones Risk Journal is listed under the Product section","Smoke Test Suite","2026-09-22","passed","2026-09-22","Risk & Compliance Product Update","risk-compliance-product-update\risk-compliance-product-update.spec.ts","",""
"","26444","DJCSS-T151: Verify DJ Yomiuri logo is displayed correctly across viewport sizes","Smoke Test Suite","2026-09-22","passed","2026-09-22","DJ Yomiuri Standalone","dj-yomiuri-standalone\dj-yomiuri-standalone.spec.ts","",""
"","14466","DJCSS-T95: Verify updated Top Left Site Logo on DJCSS","Smoke Test Suite","2026-09-22","passed","2026-09-22","Logo Updates","logo-updates\logo-updates.spec.ts","",""
"","20758","DJCSS-T105: Verify the FAQ URL redirection on FAQ Menu on the Navigation bar","Smoke Test Suite","2026-09-22","passed","2026-09-22","FAQ Navigation","faq\faq-navigation.spec.ts","",""
"","20790","DJCSS-T55: Live Chat - Preferred Language selection is required","Smoke Test Suite","2026-09-22","passed","2026-09-22","Live Chat","live-chat\live-chat.spec.ts","",""
"","15355","DJCSS-T167: Verify Advanced Search product filter navigates to filtered results","Smoke Test Suite","2026-09-22","passed","2026-09-22","Home","home\home.spec.ts","",""
"","19316","DJCSS-T61: Verify Product filter Checkbox Menu items are present in the table","Smoke Test Suite","2026-09-22","passed","2026-09-22","Product Alerts","product-alerts\product-alerts.spec.ts","",""
"","18413","DJCSS-T166: Verify Product Area dropdown reflects updated product names for Global Risk Insights","Smoke Test Suite","2026-09-22","passed","2026-09-22","Help Request Form","help-request-form\help-request-form.spec.ts","",""
"","21610","DJCSS-T56: Verify Source Name field enforces a 160 character limit","Smoke Test Suite","2026-09-22","passed","2026-09-22","Factiva Source Request Form","factiva-source-request-form\factiva-source-request-form.spec.ts","",""
