"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16019","DJCSS-T166: Verify Product Area dropdown reflects updated product names for Global Risk Insights","Smoke Test Suite","2026-09-22","passed","2026-09-22","Help Request Form","help-request-form\help-request-form.spec.ts","",""
"","7237","DJCSS-T144: Verify the form successfully accepts exactly 3 uploaded files - Constellium","Regression Test Suite","2026-09-22","passed","2026-09-22","MCT Form Submission > Constellium","mct-form\mct-form-submission.spec.ts","",""
"","24269","DJCSS-T145: Verify Unrestricted Upload of File for MyCompanyTodayForm - Constellium","Regression Test Suite","2026-09-22","failed","2026-09-22","MCT Form Submission > Constellium","mct-form\mct-form-submission.spec.ts","",""
"","18257","DJCSS-T125: Verify unrestricted file upload is rejected on the R&C profile update tab","Regression Test Suite","2026-09-22","passed","2026-09-22","Risk & Compliance Product Update","risk-compliance-product-update\risk-compliance-product-update.spec.ts","",""
"","9209","DJCSS-T173: Verify form submission for RC DJCSS API Documentation - R&C Screening & Monitoring API","Regression Test Suite","2026-09-22","passed","2026-09-22","RC Feedback Forms","rc-feedback-forms\rc-feedback-forms.spec.ts","",""
"","13460","DJCSS-T96: Verify updated Footer Logo on DJCSS","Regression Test Suite","2026-09-22","passed","2026-09-22","Logo Updates","logo-updates\logo-updates.spec.ts","",""
"","7306","DJCSS-T149: Verify the form successfully accepts exactly 3 uploaded files - TRS","Regression Test Suite","2026-09-22","passed","2026-09-22","MCT Form Submission > TRS","mct-form\mct-form-submission.spec.ts","",""
"","8801","DJCSS-T176: Verify form submission for RC DJCSS Third Party","Regression Test Suite","2026-09-22","passed","2026-09-22","RC Feedback Forms","rc-feedback-forms\rc-feedback-forms.spec.ts","",""
"","18214","DJCSS-T127: Verify unrestricted file upload is rejected on the Support Resource Request form","Regression Test Suite","2026-09-22","passed","2026-09-22","Help Request Form","help-request-form\help-request-form.spec.ts","",""
"","4497","DJCSS-T113: Verify that the form prevents submission if mandatory fields are empty - Analog","Regression Test Suite","2026-09-22","passed","2026-09-22","MCT Form Submission > Analog","mct-form\mct-form-submission.spec.ts","",""
"","28828","Verify a ""0 Results Found"" message is shown for a search term with no matching articles","Regression Test Suite","2026-09-22","passed","2026-09-22","FAQ Forms","faq\faq-forms.spec.ts","",""
"","30626","Verify rapid double-click on Submit does not create a duplicate submission","Regression Test Suite","2026-09-22","broken","2026-09-22","MCT Form Submission > Form Validation Edge Cases","mct-form\mct-form-submission.spec.ts","",""
